mins,price,closeTime,timestamp,fetch_time,price_float
5,64944.82508334,1771894051436,2026-02-24T01:47:31.943107,2026-02-24 01:47:31,64944.82508334
5,64939.22629295,1771894111729,2026-02-24T01:48:32.054047,2026-02-24 01:48:32,64939.22629295
5,64939.2561482,1771894171815,2026-02-24T01:49:32.059268,2026-02-24 01:49:32,64939.2561482
5,64955.01494165,1771894231327,2026-02-24T01:50:32.577949,2026-02-24 01:50:32,64955.01494165
5,64966.71393905,1771894291793,2026-02-24T01:51:32.176060,2026-02-24 01:51:32,64966.71393905
5,64969.32099382,1771894351895,2026-02-24T01:52:32.285325,2026-02-24 01:52:32,64969.32099382
5,64978.38946731,1771894411373,2026-02-24T01:53:32.344960,2026-02-24 01:53:32,64978.38946731
5,64980.60153339,1771894472205,2026-02-24T01:54:32.505453,2026-02-24 01:54:32,64980.60153339
5,64976.00478735,1771894531449,2026-02-24T01:55:32.614088,2026-02-24 01:55:32,64976.00478735
5,64950.40402711,1771894591965,2026-02-24T01:56:32.723651,2026-02-24 01:56:32,64950.40402711
5,64939.10002424,1771894652303,2026-02-24T01:57:32.735380,2026-02-24 01:57:32,64939.10002424
5,64936.17634188,1771894712637,2026-02-24T01:58:32.755632,2026-02-24 01:58:32,64936.17634188
5,64935.26764495,1771894772597,2026-02-24T01:59:32.854025,2026-02-24 01:59:32,64935.26764495
5,64923.20117364,1771894831161,2026-02-24T02:00:31.974172,2026-02-24 02:00:31,64923.20117364
5,64914.29235537,1771894891926,2026-02-24T02:01:32.054669,2026-02-24 02:01:32,64914.29235537
5,64882.81478444,1771894951361,2026-02-24T02:02:32.254459,2026-02-24 02:02:32,64882.81478444
5,64859.49770208,1771895011058,2026-02-24T02:03:32.260261,2026-02-24 02:03:32,64859.49770208
5,64833.76941599,1771895072274,2026-02-24T02:04:32.473284,2026-02-24 02:04:32,64833.76941599
5,64814.16736843,1771895132336,2026-02-24T02:05:32.480355,2026-02-24 02:05:32,64814.16736843
5,64792.37492069,1771895192437,2026-02-24T02:06:32.627200,2026-02-24 02:06:32,64792.37492069
5,64769.8876838,1771895251307,2026-02-24T02:07:32.801583,2026-02-24 02:07:32,64769.8876838
5,64762.00874004,1771895311594,2026-02-24T02:08:31.887310,2026-02-24 02:08:31,64762.00874004
5,64751.9013712,1771895371851,2026-02-24T02:09:31.996164,2026-02-24 02:09:31,64751.9013712
5,64660.98273868,1771895431933,2026-02-24T02:10:32.207774,2026-02-24 02:10:32,64660.98273868
5,64645.90160077,1771895492044,2026-02-24T02:11:32.280465,2026-02-24 02:11:32,64645.90160077
5,64604.64581518,1771895552112,2026-02-24T02:12:32.417611,2026-02-24 02:12:32,64604.64581518
5,64485.96712967,1771895612254,2026-02-24T02:13:32.443526,2026-02-24 02:13:32,64485.96712967
5,64443.10699354,1771895672388,2026-02-24T02:14:32.533714,2026-02-24 02:14:32,64443.10699354
5,64409.20895024,1771895733569,2026-02-24T02:15:33.778746,2026-02-24 02:15:33,64409.20895024
5,64040.32322925,1771895792707,2026-02-24T02:16:32.863185,2026-02-24 02:16:32,64040.32322925
5,63907.17446438,1771895852859,2026-02-24T02:17:33.075402,2026-02-24 02:17:33,63907.17446438
5,63789.34983084,1771895912919,2026-02-24T02:18:33.084105,2026-02-24 02:18:33,63789.34983084
5,63765.90444192,1771895973018,2026-02-24T02:19:33.297231,2026-02-24 02:19:33,63765.90444192
5,63764.60667363,1771896033201,2026-02-24T02:20:33.328539,2026-02-24 02:20:33,63764.60667363
5,63745.5984937,1771896093373,2026-02-24T02:21:33.514923,2026-02-24 02:21:33,63745.5984937
5,63870.28792828,1771896153593,2026-02-24T02:22:33.707279,2026-02-24 02:22:33,63870.28792828
5,64491.32561183,1771897141659,2026-02-24T02:39:01.884736,2026-02-24 02:39:01,64491.32561183
5,63752.28639187,1771902414279,2026-02-24T04:06:54.529598,2026-02-24 04:06:54,63752.28639187
5,63752.26838776,1771902414946,2026-02-24T04:06:55.484316,2026-02-24 04:06:55,63752.26838776
5,63752.19477364,1771902416550,2026-02-24T04:06:56.920244,2026-02-24 04:06:56,63752.19477364
5,63286.81297637,1771907223792,2026-02-24T05:27:04.004919,2026-02-24 05:27:04,63286.81297637
5,63288.67414833,1771907226500,2026-02-24T05:27:06.612711,2026-02-24 05:27:06,63288.67414833
5,63025.40546593,1771912514659,2026-02-24T06:55:15.076785,2026-02-24 06:55:15,63025.40546593
5,63259.19626476,1771915129288,2026-02-24T07:38:49.565544,2026-02-24 07:38:49,63259.19626476
5,63259.17107564,1771915130214,2026-02-24T07:38:51.138798,2026-02-24 07:38:51,63259.17107564
5,63257.96731715,1771915132704,2026-02-24T07:38:53.372058,2026-02-24 07:38:53,63257.96731715
5,63099.02822665,1771916108995,2026-02-24T07:55:09.683950,2026-02-24 07:55:09,63099.02822665
5,63054.15909635,1771916170203,2026-02-24T07:56:10.579906,2026-02-24 07:56:10,63054.15909635
5,63040.39621646,1771916231358,2026-02-24T07:57:11.667647,2026-02-24 07:57:11,63040.39621646
5,63294.91934898,1771917271500,2026-02-24T08:14:31.692345,2026-02-24 08:14:31,63294.91934898
